% This file contains ocean volume transports from the MOVE project.
% MOVE is a contribution to the international OceanSITES project
% (http://www.oceansites.org).
%
% Creation date: 18-Feb-2016 15:37:02
%
% For information on what MOVE is, and how the transports
% are computed initially, see the following reference:
% http://dx.doi.org/10.1016/j.dsr.2005.12.007
% (Kanzow et al., Deep-Sea Research Part I, 2006)
%
% For a more recent study with MOVE data, see:
% http://dx.doi.org/10.1029/2011GL049801
% (Send et al., Geophysical Research Letters, 2011)
%
% The transports are composed as the sum of two components:
% the 'boundary' component and the 'internal' component.
% The Kanzow et al. (2006) paper describes what this means.
% The version presented here is understood as representing
% the layer 1200-4950 dbar, with the internal transport
% referenced to zero flow at 4950 dbar. This is identical
% to what is used by Send et al. (2011), their figure 2.
%
% REQUIREMENTS FOR USE:
% If you use these data, you must acknowledge the MOVE project,
% e.g. by including the exemplar citation below in your work.
% These data are research data and come with no warranties
% or claims of being suitable for any particular use.
% You must assume all responsibility arising out of your use of these data.
% Please inform the principal investigators of the MOVE project about your
% use of the data.
%
% Exemplar citation:
%   "This work uses data from the MOVE project (see
%    Kanzow et al., 2006, DOI:10.1016/j.dsr.2005.12.007).
%    MOVE is a contribution to the international OceanSITES
%    project."
%
% Year,Month,Day,Volume Transport [Sv]
  2000,    2, 10,   -28.596
  2000,    2, 11,   -28.644
  2000,    2, 12,   -28.687
  2000,    2, 13,   -28.727
  2000,    2, 14,   -28.785
  2000,    2, 15,   -28.836
  2000,    2, 16,   -28.895
  2000,    2, 17,   -28.947
  2000,    2, 18,   -28.980
  2000,    2, 19,   -28.990
  2000,    2, 20,   -29.005
  2000,    2, 21,   -29.020
  2000,    2, 22,   -29.032
  2000,    2, 23,   -29.058
  2000,    2, 24,   -29.098
  2000,    2, 25,   -29.141
  2000,    2, 26,   -29.178
  2000,    2, 27,   -29.202
  2000,    2, 28,   -29.206
  2000,    2, 29,   -29.192
  2000,    3,  1,   -29.179
  2000,    3,  2,   -29.173
  2000,    3,  3,   -29.163
  2000,    3,  4,   -29.154
  2000,    3,  5,   -29.143
  2000,    3,  6,   -29.135
  2000,    3,  7,   -29.146
  2000,    3,  8,   -29.175
  2000,    3,  9,   -29.208
  2000,    3, 10,   -29.234
  2000,    3, 11,   -29.253
  2000,    3, 12,   -29.283
  2000,    3, 13,   -29.312
  2000,    3, 14,   -29.337
  2000,    3, 15,   -29.363
  2000,    3, 16,   -29.391
  2000,    3, 17,   -29.415
  2000,    3, 18,   -29.431
  2000,    3, 19,   -29.432
  2000,    3, 20,   -29.432
  2000,    3, 21,   -29.432
  2000,    3, 22,   -29.424
  2000,    3, 23,   -29.410
  2000,    3, 24,   -29.395
  2000,    3, 25,   -29.391
  2000,    3, 26,   -29.403
  2000,    3, 27,   -29.415
  2000,    3, 28,   -29.419
  2000,    3, 29,   -29.425
  2000,    3, 30,   -29.426
  2000,    3, 31,   -29.419
  2000,    4,  1,   -29.412
  2000,    4,  2,   -29.409
  2000,    4,  3,   -29.415
  2000,    4,  4,   -29.428
  2000,    4,  5,   -29.440
  2000,    4,  6,   -29.451
  2000,    4,  7,   -29.471
  2000,    4,  8,   -29.498
  2000,    4,  9,   -29.533
  2000,    4, 10,   -29.562
  2000,    4, 11,   -29.598
  2000,    4, 12,   -29.621
  2000,    4, 13,   -29.642
  2000,    4, 14,   -29.680
  2000,    4, 15,   -29.734
  2000,    4, 16,   -29.786
  2000,    4, 17,   -29.834
  2000,    4, 18,   -29.874
  2000,    4, 19,   -29.909
  2000,    4, 20,   -29.947
  2000,    4, 21,   -29.980
  2000,    4, 22,   -30.034
  2000,    4, 23,   -30.101
  2000,    4, 24,   -30.162
  2000,    4, 25,   -30.219
  2000,    4, 26,   -30.266
  2000,    4, 27,   -30.305
  2000,    4, 28,   -30.330
  2000,    4, 29,   -30.352
  2000,    4, 30,   -30.385
  2000,    5,  1,   -30.398
  2000,    5,  2,   -30.400
  2000,    5,  3,   -30.395
  2000,    5,  4,   -30.379
  2000,    5,  5,   -30.369
  2000,    5,  6,   -30.363
  2000,    5,  7,   -30.345
  2000,    5,  8,   -30.314
  2000,    5,  9,   -30.291
  2000,    5, 10,   -30.268
  2000,    5, 11,   -30.253
  2000,    5, 12,   -30.234
  2000,    5, 13,   -30.212
  2000,    5, 14,   -30.181
  2000,    5, 15,   -30.144
  2000,    5, 16,   -30.093
  2000,    5, 17,   -30.038
  2000,    5, 18,   -29.996
  2000,    5, 19,   -29.958
  2000,    5, 20,   -29.930
  2000,    5, 21,   -29.898
  2000,    5, 22,   -29.864
  2000,    5, 23,   -29.847
  2000,    5, 24,   -29.852
  2000,    5, 25,   -29.865
  2000,    5, 26,   -29.856
  2000,    5, 27,   -29.814
  2000,    5, 28,   -29.760
  2000,    5, 29,   -29.702
  2000,    5, 30,   -29.654
  2000,    5, 31,   -29.602
  2000,    6,  1,   -29.523
  2000,    6,  2,   -29.429
  2000,    6,  3,   -29.361
  2000,    6,  4,   -29.309
  2000,    6,  5,   -29.238
  2000,    6,  6,   -29.168
  2000,    6,  7,   -29.082
  2000,    6,  8,   -29.011
  2000,    6,  9,   -28.938
  2000,    6, 10,   -28.844
  2000,    6, 11,   -28.721
  2000,    6, 12,   -28.596
  2000,    6, 13,   -28.477
  2000,    6, 14,   -28.354
  2000,    6, 15,   -28.257
  2000,    6, 16,   -28.175
  2000,    6, 17,   -28.097
  2000,    6, 18,   -28.005
  2000,    6, 19,   -27.910
  2000,    6, 20,   -27.819
  2000,    6, 21,   -27.764
  2000,    6, 22,   -27.714
  2000,    6, 23,   -27.657
  2000,    6, 24,   -27.586
  2000,    6, 25,   -27.520
  2000,    6, 26,   -27.474
  2000,    6, 27,   -27.433
  2000,    6, 28,   -27.390
  2000,    6, 29,   -27.337
  2000,    6, 30,   -27.278
  2000,    7,  1,   -27.211
  2000,    7,  2,   -27.161
  2000,    7,  3,   -27.093
  2000,    7,  4,   -27.023
  2000,    7,  5,   -26.968
  2000,    7,  6,   -26.926
  2000,    7,  7,   -26.858
  2000,    7,  8,   -26.760
  2000,    7,  9,   -26.659
  2000,    7, 10,   -26.555
  2000,    7, 11,   -26.448
  2000,    7, 12,   -26.342
  2000,    7, 13,   -26.239
  2000,    7, 14,   -26.158
  2000,    7, 15,   -26.061
  2000,    7, 16,   -25.956
  2000,    7, 17,   -25.853
  2000,    7, 18,   -25.751
  2000,    7, 19,   -25.641
  2000,    7, 20,   -25.542
